date,country,newcases
2021-07-27,bosnia and herzegovina,28
2021-07-28,bosnia and herzegovina,43
2021-07-29,bosnia and herzegovina,44
2021-07-30,bosnia and herzegovina,45
2021-07-31,bosnia and herzegovina,
2021-08-01,bosnia and herzegovina,
2021-08-02,bosnia and herzegovina,130
2021-08-03,bosnia and herzegovina,40
2021-08-04,bosnia and herzegovina,124
2021-08-05,bosnia and herzegovina,82
2021-08-06,bosnia and herzegovina,75
2021-08-07,bosnia and herzegovina,
2021-08-08,bosnia and herzegovina,
2021-08-09,bosnia and herzegovina,211
2021-08-10,bosnia and herzegovina,159
2021-08-11,bosnia and herzegovina,179
2021-05-11,bulgaria,877
2021-05-12,bulgaria,657
2021-05-13,bulgaria,506
2021-05-14,bulgaria,518
2021-05-15,bulgaria,203
2021-05-16,bulgaria,151
2021-05-17,bulgaria,677
2021-05-18,bulgaria,457
2021-05-19,bulgaria,361
2021-05-20,bulgaria,368
2021-05-21,bulgaria,362
2021-05-22,bulgaria,148
2021-05-23,bulgaria,81
2021-05-24,bulgaria,81
2021-05-25,bulgaria,406
2021-05-26,bulgaria,393
2021-05-27,bulgaria,293
2021-05-28,bulgaria,287
2021-05-29,bulgaria,115
2021-05-30,bulgaria,53
2021-05-31,bulgaria,303
2021-06-01,bulgaria,236
2021-06-02,bulgaria,197
2021-06-03,bulgaria,170
2021-06-04,bulgaria,157
2021-06-05,bulgaria,89
2021-06-06,bulgaria,47
2021-06-07,bulgaria,208
2021-06-08,bulgaria,178
2021-06-09,bulgaria,131
2021-06-10,bulgaria,100
2021-06-11,bulgaria,123
2021-06-12,bulgaria,81
2021-06-13,bulgaria,42
2021-06-14,bulgaria,157
2021-06-15,bulgaria,161
2021-06-16,bulgaria,95
2021-06-17,bulgaria,110
2021-06-18,bulgaria,105
2021-06-19,bulgaria,41
2021-06-20,bulgaria,27
2021-06-21,bulgaria,120
2021-06-22,bulgaria,94
2021-06-23,bulgaria,93
2021-06-24,bulgaria,62
2021-06-25,bulgaria,86
2021-06-26,bulgaria,28
2021-06-27,bulgaria,16
2021-06-28,bulgaria,115
2021-06-29,bulgaria,105
2021-06-30,bulgaria,78
2021-07-01,bulgaria,73
2021-07-02,bulgaria,81
2021-07-03,bulgaria,51
2021-07-04,bulgaria,
2021-07-05,bulgaria,117
2021-07-06,bulgaria,87
2021-07-07,bulgaria,60
2021-07-08,bulgaria,55
2021-07-09,bulgaria,61
2021-07-10,bulgaria,32
2021-07-11,bulgaria,16
2021-07-12,bulgaria,83
2021-07-13,bulgaria,74
2021-07-14,bulgaria,84
2021-07-15,bulgaria,94
2021-07-16,bulgaria,76
2021-07-17,bulgaria,57
2021-07-18,bulgaria,35
2021-07-19,bulgaria,113
2021-07-20,bulgaria,145
2021-07-21,bulgaria,96
2021-07-22,bulgaria,121
2021-07-23,bulgaria,135
2021-07-24,bulgaria,54
2021-07-25,bulgaria,57
2021-07-26,bulgaria,193
2021-07-27,bulgaria,200
2021-07-28,bulgaria,216
2021-07-29,bulgaria,231
2021-07-30,bulgaria,346
2021-07-31,bulgaria,182
2021-08-01,bulgaria,94
2021-08-02,bulgaria,393
2021-08-03,bulgaria,462
2021-08-04,bulgaria,429
2021-08-05,bulgaria,500
